Inventory_ID,Date,SKU,Channel,Quantity_Produced,Expiry_Date,Batch_ID
INV-010000,2025-09-01,CB001,Shopee,21,2025-09-08,BAT-4835
INV-010001,2025-09-01,CW001,Shopee,28,2025-09-08,BAT-9520
INV-010002,2025-09-01,DG001,Shopee,2,2025-09-08,BAT-2938
INV-010003,2025-09-01,KI001,Shopee,26,2025-09-08,BAT-8951
INV-010004,2025-09-01,SK001,Shopee,8,2025-09-06,BAT-6965
INV-010005,2025-09-01,TV001,Shopee,10,2025-09-08,BAT-8024
INV-010006,2025-09-01,VS001,Shopee,4,2025-09-07,BAT-2270
INV-010007,2025-09-01,CB001,Store A,12,2025-09-07,BAT-1382
INV-010008,2025-09-01,CW001,Store A,9,2025-09-06,BAT-3072
INV-010009,2025-09-01,KI001,Store A,12,2025-09-06,BAT-3174
INV-010010,2025-09-01,SK001,Store A,8,2025-09-08,BAT-6873
INV-010011,2025-09-01,TV001,Store A,6,2025-09-08,BAT-9552
INV-010012,2025-09-01,VS001,Store A,5,2025-09-06,BAT-7228
INV-010013,2025-09-01,CB001,Store B,9,2025-09-06,BAT-1095
INV-010014,2025-09-01,CW001,Store B,15,2025-09-08,BAT-7038
INV-010015,2025-09-01,DG001,Store B,3,2025-09-06,BAT-8552
INV-010016,2025-09-01,KI001,Store B,7,2025-09-08,BAT-6150
INV-010017,2025-09-01,SK001,Store B,4,2025-09-06,BAT-8545
INV-010018,2025-09-01,TV001,Store B,8,2025-09-07,BAT-2478
INV-010019,2025-09-01,VS001,Store B,6,2025-09-06,BAT-8999
INV-010020,2025-09-01,CB001,Store C,19,2025-09-08,BAT-4029
INV-010021,2025-09-01,CW001,Store C,41,2025-09-06,BAT-9877
INV-010022,2025-09-01,DG001,Store C,6,2025-09-08,BAT-3370
INV-010023,2025-09-01,KI001,Store C,16,2025-09-08,BAT-7599
INV-010024,2025-09-01,SK001,Store C,9,2025-09-07,BAT-5362
INV-010025,2025-09-01,TV001,Store C,11,2025-09-06,BAT-8823
INV-010026,2025-09-01,VS001,Store C,8,2025-09-08,BAT-2219
INV-010027,2025-09-01,CB001,WhatsApp,3,2025-09-08,BAT-5330
INV-010028,2025-09-01,CW001,WhatsApp,5,2025-09-07,BAT-5364
INV-010029,2025-09-01,DG001,WhatsApp,5,2025-09-06,BAT-6678
INV-010030,2025-09-01,KI001,WhatsApp,11,2025-09-07,BAT-8964
INV-010031,2025-09-01,SK001,WhatsApp,2,2025-09-06,BAT-6225
INV-010032,2025-09-02,CB001,Shopee,19,2025-09-09,BAT-3071
INV-010033,2025-09-02,CW001,Shopee,17,2025-09-09,BAT-3318
INV-010034,2025-09-02,DG001,Shopee,9,2025-09-08,BAT-9141
INV-010035,2025-09-02,KI001,Shopee,20,2025-09-09,BAT-1295
INV-010036,2025-09-02,SK001,Shopee,3,2025-09-07,BAT-2038
INV-010037,2025-09-02,TV001,Shopee,9,2025-09-07,BAT-6606
INV-010038,2025-09-02,VS001,Shopee,7,2025-09-07,BAT-8526
INV-010039,2025-09-02,CB001,Store A,9,2025-09-07,BAT-5562
INV-010040,2025-09-02,CW001,Store A,19,2025-09-08,BAT-3910
