Transaction_ID,Date,Month,Day,Is_Weekend,Is_Payday,Channel,Sales_Type,SKU,Product_Name,Quantity,Unit_Price,Subtotal,Discount_Rate,Revenue,Unit_Cost,Total_Cost
TRX-2867825,2025-09-01,September,Monday,No,Yes,Store C,Offline,TV001,Tropical Vibes,1,40000,40000,0.0,40000.0,17000,17000
TRX-1419610,2025-09-01,September,Monday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-5614226,2025-09-01,September,Monday,No,Yes,Shopee,Online,VS001,Vanilla Shake,1,45000,45000,0.2,36000.0,19000,19000
TRX-5614226,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.1,16200.0,8000,8000
TRX-5108603,2025-09-01,September,Monday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,5,20000,100000,0.0,100000.0,9000,45000
TRX-4744854,2025-09-01,September,Monday,No,Yes,Shopee,Online,CB001,Choco Blast,5,45000,225000,0.0,225000.0,19000,95000
TRX-3341057,2025-09-01,September,Monday,No,Yes,Store A,Offline,CB001,Choco Blast,1,45000,45000,0.2,36000.0,19000,19000
TRX-3341057,2025-09-01,September,Monday,No,Yes,Store A,Offline,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-3341057,2025-09-01,September,Monday,No,Yes,Store A,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-2719583,2025-09-01,September,Monday,No,Yes,Store C,Offline,SK001,Sun Kissed,1,40000,40000,0.0,40000.0,17000,17000
TRX-2719583,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,1,18000,18000,0.1,16200.0,8000,8000
TRX-2458591,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-2458591,2025-09-01,September,Monday,No,Yes,Shopee,Online,SK001,Sun Kissed,3,40000,120000,0.2,96000.0,17000,51000
TRX-8078673,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,KI001,Kelapa Ijo,2,20000,40000,0.1,36000.0,9000,18000
TRX-8078673,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,DG001,Dynamic Green,1,40000,40000,0.0,40000.0,17000,17000
TRX-1533224,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-1533224,2025-09-01,September,Monday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-1499914,2025-09-01,September,Monday,No,Yes,Shopee,Online,TV001,Tropical Vibes,1,40000,40000,0.1,36000.0,17000,17000
TRX-2571945,2025-09-01,September,Monday,No,Yes,Store C,Offline,VS001,Vanilla Shake,1,45000,45000,0.0,45000.0,19000,19000
TRX-2571945,2025-09-01,September,Monday,No,Yes,Store C,Offline,SK001,Sun Kissed,1,40000,40000,0.0,40000.0,17000,17000
TRX-4668136,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,5,18000,90000,0.0,90000.0,8000,40000
TRX-4668136,2025-09-01,September,Monday,No,Yes,Store C,Offline,CB001,Choco Blast,2,45000,90000,0.1,81000.0,19000,38000
TRX-4903402,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.1,16200.0,8000,8000
TRX-9478454,2025-09-01,September,Monday,No,Yes,Store A,Offline,SK001,Sun Kissed,1,40000,40000,0.0,40000.0,17000,17000
TRX-1445199,2025-09-01,September,Monday,No,Yes,Store C,Offline,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-4335942,2025-09-01,September,Monday,No,Yes,Store C,Offline,CB001,Choco Blast,1,45000,45000,0.1,40500.0,19000,19000
TRX-4335942,2025-09-01,September,Monday,No,Yes,Store C,Offline,SK001,Sun Kissed,1,40000,40000,0.0,40000.0,17000,17000
TRX-8038374,2025-09-01,September,Monday,No,Yes,Shopee,Online,SK001,Sun Kissed,1,40000,40000,0.0,40000.0,17000,17000
TRX-4698379,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-4698379,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-4698379,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,KI001,Kelapa Ijo,1,20000,20000,0.1,18000.0,9000,9000
TRX-8536477,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-5667265,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,2,18000,36000,0.1,32400.0,8000,16000
TRX-1109031,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.1,16200.0,8000,8000
TRX-1109031,2025-09-01,September,Monday,No,Yes,Shopee,Online,DG001,Dynamic Green,1,40000,40000,0.0,40000.0,17000,17000
TRX-1109031,2025-09-01,September,Monday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-1109031,2025-09-01,September,Monday,No,Yes,Shopee,Online,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
