date,product_name,shelf_life_days,units_sold,units_produced,starting_inventory,spoilage_units,stockout_units,ending_inventory
2025-09-01,Choco Blast,8,56,64,64,0,0,8
2025-09-01,Coconut Water,5,174,178,178,0,0,4
2025-09-01,Dynamic Green,5,17,22,22,0,0,5
2025-09-01,Kelapa Ijo,5,122,120,120,0,2,0
2025-09-01,Sun Kissed,5,36,52,52,0,0,16
2025-09-01,Tropical Vibes,5,43,58,58,0,0,15
2025-09-01,Vanilla Shake,8,24,32,32,0,0,8
2025-09-02,Choco Blast,8,44,67,75,0,0,31
2025-09-02,Coconut Water,5,142,208,212,0,0,70
2025-09-02,Dynamic Green,5,13,20,25,0,0,12
2025-09-02,Kelapa Ijo,5,95,146,146,0,0,51
2025-09-02,Sun Kissed,5,49,43,59,0,0,10
2025-09-02,Tropical Vibes,5,46,51,66,0,0,20
2025-09-02,Vanilla Shake,8,25,28,36,0,0,11
2025-09-03,Choco Blast,8,50,52,83,0,0,33
2025-09-03,Coconut Water,5,159,170,240,0,0,81
2025-09-03,Dynamic Green,5,27,15,27,0,0,0
2025-09-03,Kelapa Ijo,5,86,114,165,0,0,79
2025-09-03,Sun Kissed,5,38,58,68,0,0,30
2025-09-03,Tropical Vibes,5,50,55,75,0,0,25
2025-09-03,Vanilla Shake,8,54,30,41,0,13,0
2025-09-04,Choco Blast,8,45,60,93,0,0,48
2025-09-04,Coconut Water,5,179,190,271,0,0,92
2025-09-04,Dynamic Green,5,22,32,32,0,0,10
2025-09-04,Kelapa Ijo,5,103,103,182,0,0,79
2025-09-04,Sun Kissed,5,48,45,75,0,0,27
2025-09-04,Tropical Vibes,5,61,60,85,0,0,24
2025-09-04,Vanilla Shake,8,31,64,64,0,0,33
2025-09-05,Choco Blast,8,78,54,102,0,0,24
2025-09-05,Coconut Water,5,231,214,306,0,0,75
2025-09-05,Dynamic Green,5,18,26,36,0,0,18
2025-09-05,Kelapa Ijo,5,139,123,202,0,0,63
2025-09-05,Sun Kissed,5,51,57,84,0,0,33
2025-09-05,Tropical Vibes,5,77,73,97,0,0,20
2025-09-05,Vanilla Shake,8,30,37,70,0,0,40
2025-09-06,Choco Blast,8,65,93,117,0,0,52
2025-09-06,Coconut Water,5,138,277,352,0,0,214
2025-09-06,Dynamic Green,5,30,21,39,0,0,9
2025-09-06,Kelapa Ijo,5,98,166,229,0,0,131
2025-09-06,Sun Kissed,5,33,61,94,0,0,61
2025-09-06,Tropical Vibes,5,55,92,112,0,0,57
2025-09-06,Vanilla Shake,8,25,36,76,0,0,51
2025-09-07,Choco Blast,8,74,78,130,0,0,56
2025-09-07,Coconut Water,5,180,165,379,0,0,199
2025-09-07,Dynamic Green,5,25,36,45,0,0,20
2025-09-07,Kelapa Ijo,5,145,117,248,0,0,103
2025-09-07,Sun Kissed,5,68,39,100,0,0,32
2025-09-07,Tropical Vibes,5,51,66,123,0,0,72
2025-09-07,Vanilla Shake,8,31,30,81,0,0,50
2025-09-08,Choco Blast,8,47,88,144,0,0,97
2025-09-08,Coconut Water,5,97,216,415,0,0,318
2025-09-08,Dynamic Green,5,17,30,50,0,0,33
2025-09-08,Kelapa Ijo,5,68,174,277,0,0,209
2025-09-08,Sun Kissed,5,39,81,113,0,0,74
2025-09-08,Tropical Vibes,5,44,61,133,0,0,89
2025-09-08,Vanilla Shake,8,18,37,87,0,0,69
2025-09-09,Choco Blast,8,26,56,153,0,0,127
2025-09-09,Coconut Water,5,128,116,434,0,0,306
2025-09-09,Dynamic Green,5,8,20,53,0,0,45
2025-09-09,Kelapa Ijo,5,66,81,290,0,0,224
2025-09-09,Sun Kissed,5,41,46,120,0,0,79
2025-09-09,Tropical Vibes,5,34,52,141,0,0,107
2025-09-09,Vanilla Shake,8,23,21,90,0,0,67
2025-09-10,Choco Blast,8,27,31,158,0,0,131
2025-09-10,Coconut Water,5,113,153,459,0,0,346
2025-09-10,Dynamic Green,5,6,9,54,0,0,48
2025-09-10,Kelapa Ijo,5,77,79,303,0,0,226
2025-09-10,Sun Kissed,5,33,49,128,0,0,95
2025-09-10,Tropical Vibes,5,41,40,147,0,0,106
2025-09-10,Vanilla Shake,8,25,27,94,0,0,69
2025-09-11,Choco Blast,8,54,32,163,0,0,109
2025-09-11,Coconut Water,5,68,135,481,0,0,413
2025-09-11,Dynamic Green,5,19,7,55,0,0,36
2025-09-11,Kelapa Ijo,5,70,92,318,0,0,248
2025-09-11,Sun Kissed,5,38,39,134,0,0,96
2025-09-11,Tropical Vibes,5,44,49,155,0,0,111
2025-09-11,Vanilla Shake,8,21,30,99,0,0,78
2025-09-12,Choco Blast,8,48,64,173,0,0,125
2025-09-12,Coconut Water,5,122,81,494,0,0,372
2025-09-12,Dynamic Green,5,25,22,58,0,0,33
2025-09-12,Kelapa Ijo,5,66,84,332,0,0,266
2025-09-12,Sun Kissed,5,40,45,141,0,0,101
2025-09-12,Tropical Vibes,5,47,52,163,0,0,116
2025-09-12,Vanilla Shake,8,9,25,103,0,0,94
