Date,Day_of_Week,is_weekend,pay_day,product_category,product_name,unit_cost,discount_rate,Selling_Price,Total_Units_Sold,Total_Revenue,Profit
2025-01-01,Wednesday,0,1,Freshy Coconut,Coconut Water,8000,0.0,18000.0,77,1386000.0,770000.0
2025-01-01,Wednesday,0,1,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,56,1120000.0,616000.0
2025-01-01,Wednesday,0,1,Nut Milk,Choco Blast,19000,0.1,40500.0,44,1782000.0,946000.0
2025-01-01,Wednesday,0,1,Nut Milk,Vanilla Shake,19000,0.2,36000.0,29,1044000.0,493000.0
2025-01-01,Wednesday,0,1,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,32,1280000.0,736000.0
2025-01-01,Wednesday,0,1,Juicy Juice,Dynamic Green,17000,0.2,32000.0,17,544000.0,255000.0
2025-01-01,Wednesday,0,1,Juicy Juice,Sun Kissed,17000,0.1,36000.0,31,1116000.0,589000.0
2025-01-02,Thursday,0,1,Freshy Coconut,Coconut Water,8000,0.1,16200.0,119,1927800.0,975800.0
2025-01-02,Thursday,0,1,Freshy Coconut,Kelapa Ijo,9000,0.1,18000.0,76,1368000.0,684000.0
2025-01-02,Thursday,0,1,Nut Milk,Choco Blast,19000,0.0,45000.0,41,1845000.0,1066000.0
2025-01-02,Thursday,0,1,Nut Milk,Vanilla Shake,19000,0.1,40500.0,17,688500.0,365500.0
2025-01-02,Thursday,0,1,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,30,1200000.0,690000.0
2025-01-02,Thursday,0,1,Juicy Juice,Dynamic Green,17000,0.1,36000.0,17,612000.0,323000.0
2025-01-02,Thursday,0,1,Juicy Juice,Sun Kissed,17000,0.0,40000.0,29,1160000.0,667000.0
2025-01-03,Friday,1,1,Freshy Coconut,Coconut Water,8000,0.0,18000.0,112,2016000.0,1120000.0
2025-01-03,Friday,1,1,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,79,1580000.0,869000.0
2025-01-03,Friday,1,1,Nut Milk,Choco Blast,19000,0.0,45000.0,57,2565000.0,1482000.0
2025-01-03,Friday,1,1,Nut Milk,Vanilla Shake,19000,0.0,45000.0,20,900000.0,520000.0
2025-01-03,Friday,1,1,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,28,1120000.0,644000.0
2025-01-03,Friday,1,1,Juicy Juice,Dynamic Green,17000,0.2,32000.0,29,928000.0,435000.0
