"CUST_ID","ORDER_ID","ORDER_DATETIME","DAYS_ELAPSED_TMAX","DAYS_FROM_CUST_LAST_ORDER","REVENUE","QUANTITY","STORE_ID","PRODUCT_ID","ORDER_STATUS","SHIPMENT_STATUS"
1,159,"2021-04-20 12:51:57",357,271,39.16,2,1,8,"COMPLETE","DELIVERED"
1,182,"2021-04-26 03:56:02",351,265,41.32,4,1,23,"COMPLETE","DELIVERED"
1,182,"2021-04-26 03:56:02",351,265,56.42,2,1,20,"COMPLETE","DELIVERED"
1,201,"2021-04-29 11:48:01",348,262,98.24,2,1,36,"COMPLETE","DELIVERED"
1,201,"2021-04-29 11:48:01",348,262,57.36,4,1,19,"COMPLETE","DELIVERED"
1,1390,"2021-12-31 15:47:26",102,16,20.48,2,1,28,"COMPLETE","DELIVERED"
1,1390,"2021-12-31 15:47:26",102,16,42.32,2,1,9,"COMPLETE","DELIVERED"
1,1390,"2021-12-31 15:47:26",102,16,20.96,2,1,12,"COMPLETE","DELIVERED"
1,1491,"2022-01-16 08:12:31",86,0,20.96,2,1,12,"COMPLETE","DELIVERED"
2,5,"2021-02-11 18:01:30",425,210,136.24,4,1,40,"COMPLETE","DELIVERED"
2,5,"2021-02-11 18:01:30",425,210,16.95,3,1,32,"COMPLETE","DELIVERED"
2,765,"2021-09-09 08:32:41",215,0,116.6,5,2,34,"COMPLETE",
2,765,"2021-09-09 08:32:41",215,0,63.2,5,2,13,"COMPLETE",
3,1,"2021-02-04 13:20:22",432,350,148,4,1,33,"CANCELLED",
3,1,"2021-02-04 13:20:22",432,350,61.38,2,1,11,"CANCELLED",
3,20,"2021-03-01 10:07:32",407,325,42.32,2,3,9,"COMPLETE",
3,20,"2021-03-01 10:07:32",407,325,159.64,4,3,27,"COMPLETE",
3,20,"2021-03-01 10:07:32",407,325,11.3,2,3,32,"COMPLETE",
3,63,"2021-03-22 06:17:24",386,304,96.78,2,1,24,"COMPLETE","DELIVERED"
3,63,"2021-03-22 06:17:24",386,304,57.48,3,1,7,"COMPLETE","DELIVERED"
3,298,"2021-05-24 20:30:09",323,241,49.92,3,1,43,"COMPLETE","DELIVERED"
3,298,"2021-05-24 20:30:09",323,241,84.64,4,1,9,"COMPLETE","DELIVERED"
3,307,"2021-05-27 04:27:28",320,238,91.92,4,1,38,"COMPLETE","DELIVERED"
3,307,"2021-05-27 04:27:28",320,238,43.02,3,1,19,"COMPLETE","DELIVERED"
3,544,"2021-07-27 05:27:59",259,177,147.55,5,1,37,"COMPLETE","DELIVERED"
3,544,"2021-07-27 05:27:59",259,177,76.56,2,1,6,"COMPLETE","DELIVERED"
3,544,"2021-07-27 05:27:59",259,177,119.73,3,1,27,"COMPLETE","DELIVERED"
3,608,"2021-08-11 18:57:30",244,162,21.54,3,1,35,"COMPLETE","DELIVERED"
3,608,"2021-08-11 18:57:30",244,162,51.65,5,1,23,"COMPLETE","DELIVERED"
3,608,"2021-08-11 18:57:30",244,162,69.85,5,1,15,"COMPLETE","DELIVERED"
3,766,"2021-09-09 11:33:57",215,133,31.44,3,1,12,"COMPLETE","DELIVERED"
3,832,"2021-09-22 10:12:29",202,120,117.96,4,3,10,"COMPLETE",
3,832,"2021-09-22 10:12:29",202,120,84.64,4,3,9,"COMPLETE",
3,1520,"2022-01-20 23:42:12",82,0,50.56,4,1,13,"COMPLETE","DELIVERED"
3,1520,"2022-01-20 23:42:12",82,0,110.56,4,1,46,"COMPLETE","DELIVERED"
3,1520,"2022-01-20 23:42:12",82,0,37,1,1,33,"COMPLETE","DELIVERED"
4,453,"2021-07-02 23:08:52",284,195,59.1,2,4,2,"COMPLETE",
4,453,"2021-07-02 23:08:52",284,195,49.92,3,4,43,"COMPLETE",
4,506,"2021-07-17 21:52:33",269,180,97.84,4,1,18,"COMPLETE","DELIVERED"
4,506,"2021-07-17 21:52:33",269,180,115.02,3,1,21,"COMPLETE","DELIVERED"
4,585,"2021-08-05 21:58:27",250,161,57.18,2,1,31,"COMPLETE","DELIVERED"
4,585,"2021-08-05 21:58:27",250,161,74.13,3,1,29,"COMPLETE","DELIVERED"
4,585,"2021-08-05 21:58:27",250,161,118.04,4,1,37,"COMPLETE","DELIVERED"
4,672,"2021-08-23 12:33:23",232,143,156.64,4,4,46,"COMPLETE",
4,920,"2021-10-10 04:55:19",184,95,176.68,4,4,4,"COMPLETE",
4,920,"2021-10-10 04:55:19",184,95,17.32,2,4,41,"COMPLETE",
4,1455,"2022-01-11 14:35:59",91,2,30.99,3,1,23,"COMPLETE","DELIVERED"
4,1455,"2022-01-11 14:35:59",91,2,95.04,3,1,45,"COMPLETE","DELIVERED"
4,1468,"2022-01-13 01:22:50",89,0,126.72,4,1,45,"COMPLETE","DELIVERED"
4,1468,"2022-01-13 01:22:50",89,0,88.65,3,1,2,"COMPLETE","DELIVERED"
5,306,"2021-05-27 03:20:25",320,96,30.72,3,5,28,"COMPLETE",
5,331,"2021-06-03 13:25:06",313,89,46.64,2,1,34,"COMPLETE","DELIVERED"
5,707,"2021-08-31 05:08:24",224,0,73.38,3,1,18,"COMPLETE","DELIVERED"
6,204,"2021-04-30 11:39:15",347,255,20.96,2,1,12,"COMPLETE","DELIVERED"
6,204,"2021-04-30 11:39:15",347,255,148,4,1,33,"COMPLETE","DELIVERED"
6,769,"2021-09-09 13:45:17",215,123,20.22,2,1,42,"REFUNDED","DELIVERED"
6,972,"2021-10-19 13:08:36",175,83,119.73,3,6,27,"COMPLETE",
6,972,"2021-10-19 13:08:36",175,83,41.32,4,6,23,"COMPLETE",
6,1058,"2021-11-03 14:53:59",160,68,29.55,1,6,2,"COMPLETE",
6,1058,"2021-11-03 14:53:59",160,68,65.45,5,6,16,"COMPLETE",
6,1058,"2021-11-03 14:53:59",160,68,23.32,1,6,34,"COMPLETE",
6,1111,"2021-11-12 23:38:06",151,59,12.64,1,1,13,"COMPLETE","DELIVERED"
6,1111,"2021-11-12 23:38:06",151,59,34.64,4,1,41,"COMPLETE","DELIVERED"
6,1450,"2022-01-10 18:52:30",92,0,132.51,3,1,4,"COMPLETE","DELIVERED"
7,862,"2021-09-29 01:30:09",195,177,148,4,7,33,"COMPLETE",
7,862,"2021-09-29 01:30:09",195,177,10.33,1,7,23,"COMPLETE",
7,950,"2021-10-15 17:58:32",179,161,41.32,4,1,23,"COMPLETE","DELIVERED"
7,950,"2021-10-15 17:58:32",179,161,119.34,3,1,22,"COMPLETE","DELIVERED"
7,1121,"2021-11-15 10:21:03",148,130,159.64,4,1,27,"COMPLETE","DELIVERED"
7,1555,"2022-01-24 15:17:49",78,60,46.64,2,7,34,"COMPLETE",
7,1555,"2022-01-24 15:17:49",78,60,79.78,2,7,17,"COMPLETE",
7,1890,"2022-03-25 23:31:58",18,0,88.65,3,7,2,"COMPLETE",
7,1890,"2022-03-25 23:31:58",18,0,117.48,3,7,46,"COMPLETE",
8,196,"2021-04-28 16:53:48",349,316,41.32,4,1,23,"COMPLETE","DELIVERED"
8,196,"2021-04-28 16:53:48",349,316,50.01,3,1,3,"COMPLETE","DELIVERED"
8,240,"2021-05-08 00:27:09",339,306,159.56,4,1,17,"COMPLETE","DELIVERED"
8,240,"2021-05-08 00:27:09",339,306,20.96,2,1,12,"COMPLETE","DELIVERED"
8,430,"2021-06-26 19:51:51",290,257,48.92,2,1,18,"COMPLETE","DELIVERED"
8,430,"2021-06-26 19:51:51",290,257,69.85,5,1,15,"COMPLETE","DELIVERED"
8,993,"2021-10-23 21:12:34",171,138,57.36,4,1,19,"COMPLETE","DELIVERED"
8,993,"2021-10-23 21:12:34",171,138,28.72,4,1,35,"COMPLETE","DELIVERED"
8,993,"2021-10-23 21:12:34",171,138,104.56,4,1,14,"COMPLETE","DELIVERED"
8,1082,"2021-11-07 16:25:22",156,123,119.34,3,8,22,"COMPLETE",
8,1082,"2021-11-07 16:25:22",156,123,56.42,2,8,20,"COMPLETE",
8,1543,"2022-01-23 11:49:58",79,46,38.34,1,1,21,"COMPLETE","DELIVERED"
8,1543,"2022-01-23 11:49:58",79,46,146.25,3,1,26,"COMPLETE","DELIVERED"
8,1543,"2022-01-23 11:49:58",79,46,122.76,4,1,11,"COMPLETE","DELIVERED"
8,1561,"2022-01-25 07:56:53",77,44,16.64,1,8,43,"COMPLETE",
8,1561,"2022-01-25 07:56:53",77,44,57.48,3,8,7,"COMPLETE",
8,1817,"2022-03-10 21:54:25",33,0,69.96,3,8,34,"COMPLETE",
8,1817,"2022-03-10 21:54:25",33,0,40.44,4,8,42,"COMPLETE",
8,1817,"2022-03-10 21:54:25",33,0,39.78,1,8,22,"COMPLETE",
9,7,"2021-02-22 00:57:11",414,291,196.48,4,1,36,"COMPLETE","DELIVERED"
9,7,"2021-02-22 00:57:11",414,291,24.71,1,1,29,"COMPLETE","DELIVERED"
9,928,"2021-10-11 04:03:45",183,60,41.92,4,1,12,"COMPLETE","DELIVERED"
9,928,"2021-10-11 04:03:45",183,60,28.72,4,1,35,"COMPLETE","DELIVERED"
9,928,"2021-10-11 04:03:45",183,60,33.34,2,1,3,"COMPLETE","DELIVERED"
9,968,"2021-10-18 11:26:07",176,53,21.54,3,1,35,"COMPLETE","DELIVERED"
9,968,"2021-10-18 11:26:07",176,53,74.68,2,1,30,"COMPLETE","DELIVERED"
9,968,"2021-10-18 11:26:07",176,53,37.92,3,1,13,"COMPLETE","DELIVERED"
9,1102,"2021-11-11 09:21:21",152,29,52.28,2,9,14,"COMPLETE",
9,1102,"2021-11-11 09:21:21",152,29,22,2,9,39,"COMPLETE",
9,1102,"2021-11-11 09:21:21",152,29,88.47,3,9,10,"COMPLETE",
9,1260,"2021-12-10 00:17:10",123,0,174.84,4,9,5,"COMPLETE",
9,1260,"2021-12-10 00:17:10",123,0,112.02,3,9,30,"COMPLETE",
10,437,"2021-06-28 05:37:34",288,240,88.53,3,1,37,"COMPLETE","DELIVERED"
10,437,"2021-06-28 05:37:34",288,240,141.05,5,1,20,"COMPLETE","DELIVERED"
10,943,"2021-10-14 03:37:42",180,132,76.56,2,1,6,"COMPLETE","DELIVERED"
10,986,"2021-10-22 05:59:46",172,124,130.7,5,10,14,"COMPLETE",
10,986,"2021-10-22 05:59:46",172,124,31.44,3,10,12,"COMPLETE",
10,1525,"2022-01-21 13:17:54",81,33,102.18,3,1,40,"COMPLETE","DELIVERED"
10,1525,"2022-01-21 13:17:54",81,33,159.56,4,1,17,"COMPLETE","DELIVERED"
10,1730,"2022-02-23 02:34:28",48,0,84.63,3,10,20,"COMPLETE",
10,1730,"2022-02-23 02:34:28",48,0,92.07,3,10,11,"COMPLETE",
11,761,"2021-09-08 19:31:00",216,150,59.1,2,1,2,"COMPLETE","DELIVERED"
11,761,"2021-09-08 19:31:00",216,150,111,3,1,33,"COMPLETE","DELIVERED"
11,960,"2021-10-17 08:14:25",177,111,48.39,1,1,24,"COMPLETE","DELIVERED"
11,960,"2021-10-17 08:14:25",177,111,49.92,3,1,43,"COMPLETE","DELIVERED"
11,960,"2021-10-17 08:14:25",177,111,97.5,2,1,26,"COMPLETE","DELIVERED"
11,1321,"2021-12-19 17:28:34",114,48,29.51,1,1,37,"COMPLETE","DELIVERED"
11,1321,"2021-12-19 17:28:34",114,48,33.28,2,1,43,"COMPLETE","DELIVERED"
11,1321,"2021-12-19 17:28:34",114,48,117.48,3,1,46,"COMPLETE","DELIVERED"
11,1635,"2022-02-05 13:18:25",66,0,98.24,2,11,36,"COMPLETE",
11,1635,"2022-02-05 13:18:25",66,0,176.68,4,11,4,"COMPLETE",
11,1635,"2022-02-05 13:18:25",66,0,13.97,1,11,15,"COMPLETE",
12,125,"2021-04-10 12:41:39",367,302,44,4,1,39,"COMPLETE","DELIVERED"
